order_id,customer_id,product,quantity,price,order_date
68,118,Watch,1,339.99,2023-06-28
69,119,Headphones,5,124.99,2023-07-01
70,120,Laptop,2,1189.99,2023-07-03
71,101,Phone,3,719.99,2023-07-06
72,102,Camera,1,569.99,2023-07-08
73,103,Speaker,4,199.99,2023-07-11
74,104,Tablet,2,449.99,2023-07-13
75,105,Watch,3,299.99,2023-07-16
76,106,Laptop,1,1109.99,2023-07-18
77,107,Phone,2,769.99,2023-07-21
78,108,Headphones,4,149.99,2023-07-23
79,109,Camera,3,539.99,2023-07-26
80,110,Speaker,2,204.99,2023-07-28
81,111,Tablet,1,429.99,2023-08-01
82,112,Watch,3,314.99,2023-08-03
83,113,Phone,2,749.99,2023-08-06
84,114,Laptop,1,1229.99,2023-08-08
85,115,Camera,2,589.99,2023-08-11
86,116,Headphones,5,139.99,2023-08-13
87,117,Speaker,3,214.99,2023-08-16
88,118,Tablet,4,399.99,2023-08-18
89,119,Phone,1,799.99,2023-08-21
90,120,Watch,2,344.99,2023-08-23
91,101,Laptop,1,1169.99,2023-08-26
92,102,Camera,3,519.99,2023-08-28
93,103,Headphones,2,164.99,2023-09-01
94,104,Speaker,4,179.99,2023-09-03
95,105,Phone,2,729.99,2023-09-06
96,106,Tablet,3,419.99,2023-09-08
97,107,Watch,1,289.99,2023-09-11
98,108,Laptop,2,1139.99,2023-09-13
99,109,Phone,3,759.99,2023-09-16
100,110,Camera,1,609.99,2023-09-18
101,111,Speaker,5,189.99,2023-09-21
102,112,Tablet,2,459.99,2023-09-23
103,113,Watch,4,274.99,2023-09-26
104,114,Phone,1,809.99,2023-09-28
105,115,Laptop,1,1259.99,2023-10-01
106,116,Camera,2,549.99,2023-10-03
107,117,Speaker,3,199.99,2023-10-06
108,118,Tablet,1,439.99,2023-10-08
109,119,Watch,2,304.99,2023-10-11
110,120,Headphones,6,129.99,2023-10-13
111,101,Phone,2,779.99,2023-10-16
112,102,Laptop,1,1199.99,2023-10-18
113,103,Camera,3,529.99,2023-10-21
114,104,Speaker,4,194.99,2023-10-23
115,105,Tablet,2,409.99,2023-10-26
116,106,Watch,1,334.99,2023-10-28
117,107,Laptop,2,1149.99,2023-11-01
118,108,Phone,3,719.99,2023-11-03
119,109,Camera,1,579.99,2023-11-06
120,110,Speaker,5,184.99,2023-11-08
121,111,Tablet,3,419.99,2023-11-11
122,112,Watch,2,294.99,2023-11-13
123,113,Headphones,4,144.99,2023-11-16
124,114,Phone,1,829.99,2023-11-18
125,115,Laptop,1,1239.99,2023-11-21
126,116,Camera,3,559.99,2023-11-23
127,117,Speaker,2,209.99,2023-11-26
128,118,Tablet,4,449.99,2023-11-28
129,119,Watch,3,319.99,2023-12-01
130,120,Phone,2,749.99,2023-12-03
131,101,Headphones,5,134.99,2023-12-06
132,102,Laptop,1,1209.99,2023-12-08
133,103,Camera,2,539.99,2023-12-11
134,104,Speaker,3,199.99,2023-12-13
135,105,Tablet,1,429.99,2023-12-16
136,106,Phone,2,799.99,2023-12-18
137,107,Watch,4,284.99,2023-12-21
138,108,Laptop,1,1179.99,2023-12-23
139,109,Camera,3,509.99,2023-12-26
140,110,Speaker,2,214.99,2023-12-28
141,111,Phone,1,839.99,2024-01-02
142,112,Tablet,3,439.99,2024-01-05
143,113,Watch,2,309.99,2024-01-08
144,114,Laptop,1,1219.99,2024-01-10
145,115,Camera,4,519.99,2024-01-13
146,116,Headphones,3,154.99,2024-01-15
147,117,Phone,2,759.99,2024-01-18
148,118,Speaker,5,179.99,2024-01-20
149,119,Tablet,1,449.99,2024-01-23
150,120,Watch,3,329.99,2024-01-25
151,101,Laptop,2,1159.99,2024-01-28
152,102,Phone,1,819.99,2024-01-30
153,103,Camera,2,569.99,2024-02-02
154,104,Headphones,4,139.99,2024-02-05
155,105,Speaker,3,194.99,2024-02-08
156,106,Tablet,2,459.99,2024-02-10
157,107,Watch,1,339.99,2024-02-13
158,108,Phone,3,729.99,2024-02-15
159,109,Laptop,1,1189.99,2024-02-18
160,110,Camera,2,529.99,2024-02-20
161,111,Speaker,4,204.99,2024-02-23
162,112,Tablet,3,429.99,2024-02-25
163,113,Phone,2,769.99,2024-03-01
164,114,Watch,4,299.99,2024-03-03
165,115,Laptop,1,1249.99,2024-03-06
166,116,Camera,3,549.99,2024-03-08
167,117,Headphones,5,129.99,2024-03-11
168,118,Speaker,2,219.99,2024-03-13
169,119,Tablet,4,419.99,2024-03-16
170,120,Phone,1,789.99,2024-03-18
171,101,Watch,2,319.99,2024-03-21
172,102,Laptop,1,1229.99,2024-03-23
173,103,Speaker,3,189.99,2024-03-26
174,104,Tablet,2,469.99,2024-03-28
175,105,Phone,3,739.99,2024-04-01
176,106,Camera,1,589.99,2024-04-03
177,107,Laptop,2,1199.99,2024-04-06
178,108,Watch,4,309.99,2024-04-08
179,109,Headphones,3,149.99,2024-04-11
180,110,Phone,2,759.99,2024-04-13
181,111,Camera,3,559.99,2024-04-16
182,112,Speaker,4,199.99,2024-04-18
183,113,Tablet,1,449.99,2024-04-21
184,114,Watch,2,329.99,2024-04-23
185,115,Headphones,6,134.99,2024-04-26
186,116,Phone,1,809.99,2024-04-28
187,117,Camera,2,579.99,2024-05-01
188,118,Laptop,1,1239.99,2024-05-03
189,119,Speaker,5,209.99,2024-05-06
190,120,Tablet,3,439.99,2024-05-08
191,101,Phone,2,749.99,2024-05-11
192,102,Watch,1,349.99,2024-05-13
193,103,Laptop,1,1169.99,2024-05-16
194,104,Camera,3,519.99,2024-05-18
195,105,Speaker,2,214.99,2024-05-21
196,106,Headphones,4,144.99,2024-05-23
197,107,Tablet,3,409.99,2024-05-26
198,108,Phone,1,819.99,2024-05-28
199,109,Watch,4,289.99,2024-05-31
200,110,Laptop,2,1209.99,2024-06-02
